name,description,smartItemId,typeID,volume,mass,radius,portionSize,groupID,groupName,categoryID,category Name,icon
Deep Core Mining,Skill at operating mining lasers requiring Deep Core Mining. 10% reduction per skill level to the chance of a damage cloud forming while mining Mercoxit.,18157304258724814604005497123927088291515570528141733583512118445275451450745,11395,0.01,0,1,1,1218,Resource Processing,16,Skill,ico11395.png
Ice Harvesting,Skill at harvesting ice. 5% reduction per skill level to the cycle time of ice harvesters.,25943078493983993976488986602509498482825415922452135233801824378725458565929,16281,0.01,0,1,1,1218,Resource Processing,16,Skill,ico16281.png
Marketing,"Skill at selling items remotely. Each level increases the range from the seller to the item being sold. Level 1 allows for the sale of items within the same solar system, Level 2 extends that range to systems within 5 jumps, and each subsequent level then doubles it. Level 5 allows for sale of items located anywhere within current region.",110484418832221242308510631642084634649624547987653205809488879826463616074288,16598,0.01,0,,1,274,Trade,16,Skill,ico16598.png
Supply Chain Management,"Proficiency at starting manufacturing jobs remotely. Without this skill, one can only start jobs within the solar system where one is located. Each level increases the distance at which manufacturing jobs can be started. Level 1 allows for jobs at a range within 5 jumps, and each subsequent level adds 5 more jumps to the range, with a maximum of a 25 jump range.",4424824292750320861660704815526454641065715024432936641968754898264691647361,24268,0.01,0,1,1,268,Production,16,Skill,ico24268.png
Advanced Mass Production,Further training in the operation of multiple factories. Ability to run 1 additional manufacturing job per skill level.,94263958511543586965094054479541919117471383207458619424989730686433036563170,24625,0.01,0,1,1,268,Production,16,Skill,ico24625.png
Corpse Male,,73921166872174828398092143801766525189215984163603041867461623247379655507370,25,2,80,1,1,14,Biomass,2,Celestial,ico25.png
Gallente Basic Outpost Factory Platform,A basic upgrade to Gallente Outpost manufacturing capabilities. Gives a manufacturing time reduction on all Capital Construction Components of 20%.,111548570199651664149174293480008874870001076438104843314882863017855485018860,27939,750000,0,1000,1,836,Station Improvement Platform,2,Celestial,ico27939.png
Minmatar Basic Outpost Factory Platform,A basic upgrade to Minmatar Outpost manufacturing capabilities. Gives a manufacturing time reduction on all Modules of 20%.,26558259632212276232816763675405236516233374289757803556488237827516647862338,27941,750000,0,1000,1,836,Station Improvement Platform,2,Celestial,ico27941.png
Gallente Outpost Factory Platform,An intermediate upgrade to Gallente Outpost manufacturing capabilities. Increases the manufacturing time reduction on all Capital Construction Components to 40%.,84282972683594307574152566571031490705070920293916257906968210954783268932606,27967,750000,0,1000,1,836,Station Improvement Platform,2,Celestial,ico27967.png
Gallente Advanced Outpost Factory Platform,An advanced upgrade to Gallente Outpost manufacturing capabilities. Increases the manufacturing time reduction on all Capital Construction Components to 60%.,50603301389136979476945268935597730378047079577664263534560390633822341991168,27969,750000,0,1000,1,836,Station Improvement Platform,2,Celestial,ico27969.png
Minmatar Outpost Factory Platform,An intermediate upgrade to Minmatar Outpost manufacturing capabilities. Increases the manufacturing time reduction on all Modules to 40%.,32255582546390939712136977461441516287830018168853899059759072404535879062132,27971,750000,0,1000,1,836,Station Improvement Platform,2,Celestial,ico27971.png
Minmatar Advanced Outpost Factory Platform,An advanced upgrade to Minmatar Outpost manufacturing capabilities. Increases the manufacturing time reduction on all Modules to 60%.,108828287790384926605934424940625074305649894400892391390380445982835089187486,27973,750000,0,1000,1,836,Station Improvement Platform,2,Celestial,ico27973.png
Gallente Outpost Plant Platform,An intermediate upgrade to Gallente Outpost manufacturing capabilities. Gives 1% Material Efficiency reduction to all manufacturing jobs (stacks with all other improvements of the same type).,28161435606486073699206011987557802974087735158946485088482503929352546491238,27975,750000,0,1000,1,836,Station Improvement Platform,2,Celestial,ico27975.png
Gallente Advanced Outpost Plant Platform,An advanced upgrade to Gallente Outpost manufacturing capabilities. Gives 1% Material Efficiency reduction to all manufacturing jobs (stacks with all other improvements of the same type).,20427165245024067220798714601343404351753498633518042012998198655664899637192,27977,750000,0,1000,1,836,Station Improvement Platform,2,Celestial,ico27977.png
Minmatar Outpost Plant Platform,An intermediate upgrade to Minmatar Outpost manufacturing capabilities. Gives 1% Material Efficiency reduction to all manufacturing jobs (stacks with all other improvements of the same type).,99669766254077496957599762347916491149482814073505805729071902295711798028667,27979,750000,0,1000,1,836,Station Improvement Platform,2,Celestial,ico27979.png
Minmatar Advanced Outpost Plant Platform,An advanced upgrade to Minmatar Outpost manufacturing capabilities. Gives 1% Material Efficiency reduction to all manufacturing jobs (stacks with all other improvements of the same type).,35074955369037720134890552235859847701647502974008799905616275575407082928418,27981,750000,0,1000,1,836,Station Improvement Platform,2,Celestial,ico27981.png
